"ID","Date","Duration","Target","PeekFlow","DomainName","Attack_Information","DomainInformation","IP_Information"
"23","2014-10-12","3.5","F","109.5","nextmedia.com,198hz.com,ivdao.com","3级构造",,"来源ip多为电信ip地址 "
"22","2014-10-10","2.5","F","112.4","uc176.com,360y8.com,tt1155.com","3级构造",,"来源IP地址较为分散，多为电信ip地址"
"20","2014-10-08","2.5","F","107.5","passiontimes.hk","3级构造","香港热血时报",
"21","2014-10-09","4.25","F","84","www.jjvod.com,t1.jijivod.com","4级构造",,"甘肃兰州电信ip地址"
"19","2014-10-08","2.5","F","107.5","8496789.com","3级构造","私服网站","源IP地址较为分散，多为电信ip地址"
"18","2014-09-19","4.5","L","60","xinhedai.com","3级构造",,"来源IP地址较为分散"
"17","2014-09-19","4.5","F","80","quanbowang.com","3级构造",,"来源IP地址较为分散"
"16","2014-09-16","1.4","F","68","ya888888.com,34sy.com,www.168gamer.com","3级构造",,"来源IP地址较为分散"
"15","2014-09-16","1","F","68","xw156.com,wh-hp.com","3级构造",,"来源IP地址较为分散"
"14","2014-09-03","5","L","84","sportdafa.com",,,"ip比较分散，发现218.241.99.50"
"12","2014-09-01","2.5","L","65","*.null","2级构造",,
"13","2014-09-03","5","F","57","sportdafa.com","3级构造",,"ip比较分散，发现218.241.99.50"
"11","2015-07-26","2","F","53","null","2级构造",,"116.28.62.30（广州电信）"
"10","2015-07-17","2.4","F","68","yh.null","2级构造",,"来源ip无明显规律"
"9","2015-07-15","1","L","100","*.www.null,www.gq10*","3级构造",,"电信IP"
"8","2015-07-15","1","F","128","*.www.null,www.gq10*","3级构造",,"电信IP"
"7","2014-07-11","2.5","L","80","www.snlcn.com ","3级构造","香女士美妆","来源ip无明显规律"
"6","2014-07-11","2.5","F","87","888.ic789.com,www.snlcn.com ","3级构造","网游私服类网站","来源ip无明显规律"
"5","2014-05-07","0.8","F","107","www.17175.com,www.33ok.com","3级构造",,
"3","2014-04-13","2","F","89","vdos-s.com","3级构造",,
"4","2014-04-17","8.5","F","95","*.null","2级构造",,
"1","2014-02-11","10","F","42","*.null","2级构造",,
"2","2014-03-25","7.5","F","63","*.null","2级构造",,
"26","2014-10-16","0.8","F","118.6","muqiji.com,771518.com,201599.com","3级构造","私服网站","来源IP地址较为分散，主要分布在
甘肃兰州电信和湖南长沙电信"
"27","2014-10-18","3.5","F","101.6","dsc228,bodog***.com,110034.cn","2级构造","私服网站","来源IP地址较为分散，主要分布在甘肃兰州电信"
"24","2014-10-13","1.2","F","108","17175.com,10086dy.com,na399.com","3级构造","捕鱼达人官网","来源ip多为中国电信ip地址 "
"25","2014-10-15","1.9","F","95.8","9pvc.com,bodog022.com","3级构造",,"来源IP地址较为分散，主要分布
甘肃兰州电信湖南长沙电信"
"28","2014-10-22","2","L","57","appledaily.com.hk","4级构造","苹果日报","来源IP地址较为分散，主要分布在甘肃兰州电信"
"29","2014-10-23","12","L","60","appledaily.com.hk","4级构造","苹果日报","来源IP地址较为分散，主要分布在甘肃兰州电信"
"30","2014-10-24","2","L","60","appledaily.com.hk","4级构造","苹果日报","来源IP地址较为分散，主要分布在甘肃兰州电信"
"31","2014-10-26","3","L","95","jinma.null,jm8.null","3级构造",,"来源IP地址较为分散，主要分布在甘肃兰州电信"
"32","2014-10-27","6","L","95","jinma.null,jm8.null","3级构造",,"来源IP地址较为分散"
"33","2014-10-28","0.4","F","60","jinma.null","3级构造",,"来源IP地址较为分散"
"34","2014-11-17","1.8","F","104.6","arkhamnetwork.org,extronus.net","3级构造","美国网络代理公司网站","来源IP地址较为分散，主要分布在甘肃兰州电信"
"35","2014-11-21","0.8","F","108.9","arkhamnetwork.org","3级构造","美国网络代理公司网站","来源IP地址较为分散，主要分布在甘肃兰州电信"
"36","2014-12-10","0.8","F","80","getfastinstagramfollowers.net","3级构造","国外在线社交分享类网站","59.51.78.196/197/198/199(湖南衡阳电信)"
"37","2014-12-11","0.9","F","160.2","vdos-s.com","3级构造",,"222.246.129.68/69/70/71(湖南长沙电信)"
"38","2014-12-13","0.9","F","131","nirvanamc.com","3级构造","国外在线游戏网站","59.51.78.196/197/198/199(湖南衡阳电信)"
"39","2015-01-01","2.7","i","1","www.null.","随机构造",,"202.106.101.202、211.167.241.234，218.241.242.238，
123.151.133.162（北京市 鹏博士宽带和联通以及天津电信）"
"40","2015-01-14","1.8","F","80","ts8899.net","随机构造",,"源IP分布主要集中在202.103.207.116，202.103.207.117
202.103.207.118（广西壮族自治区柳州市电信）"
"41","2015-01-14","1.8","L","167","ts8899.net","随机构造",,
"42","2015-01-14","1.8","i","2","ts8899.net","随机构造",,
"43","2015-03-11","0.5","i","0.85","大量查询不特定的网站",,,"210.73.44.1（科技网IP）"
"44","2015-04-14","1.5","F","39","game5l.com",NULL,"域名可以正常解析和访问","源IP分布主要集中在59.51.78.196/198/199（归属地湖南衡阳市电信），这3个IP查询量约占IP总量19.5%左右"
